ID,Marca,Stock,Precio ($),Tipo de memoria,Capacidad,Frecuencia
,Crucial,16,13890,DDR3 DIMM,2GB,1600 MHz
,Kingston,1,19990,DDR3 DIMM,4GB,1600 MHz
,G. Skill,8,21090,DDR4 DIMM,4GB,2400 MHz
